,Title,Release Year,Age Restriction,Duration,Genre,Rating,Number of Votes,Meta Score,Language,Country of Origin,Companies,Budget,Gross (worldwide)
34,Titanic,1997,PG-13,3h 14m,Drama~Romance,7.9,1.3M,75,English~Swedish~Italian~French,United States~Mexico,Twentieth Century Fox~Paramount Pictures~Lightstorm Entertainment,"$200,000,000","$2,264,750,694"
35,Guardians of the Galaxy,2014,PG-13,2h 1m,Action~Adventure~Comedy,8.0,1.3M,76,English,United States,Marvel Studios~Walt Disney Pictures~Moving Pictures Company,"$170,000,000","$773,350,376"
36,Avengers: Endgame,2019,PG-13,3h 1m,Action~Adventure~Drama,8.4,1.3M,78,English~Japanese~Xhosa~German,United States,Marvel Studios~Walt Disney Pictures,"$356,000,000","$2,799,439,100"
37,Goodfellas,1990,R,2h 25m,Biography~Crime~Drama,8.7,1.3M,92,English~Italian,United States,Warner Bros.,"$25,000,000","$47,049,784"
38,Léon: The Professional,1994,R,1h 50m,Action~Crime~Drama,8.5,1.2M,64,English~Italian~French,France~United States,Columbia Pictures~Gaumont~Les Films du Dauphin,"FRF 115,000,000","$19,570,198"
39,American Beauty,1999,R,2h 2m,Drama,8.3,1.2M,84,English,United States,Dreamworks Pictures~Jinks/Cohen Company,"$15,000,000","$356,296,601"
40,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,2h 23m,Action~Adventure~Fantasy,8.1,1.2M,63,English,United States,Walt Disney Pictures~Jerry Bruckheimer Films,"$140,000,000","$654,264,546"
41,Avengers: Infinity War,2018,PG-13,2h 29m,Action~Adventure~Sci-Fi,8.4,1.2M,68,English,United States~Norway,Marvel Studios~Jason Roberts Productions~South Pictures,"$321,000,000","$2,052,415,039"
42,WALL·E,2008,G,1h 38m,Animation~Adventure~Family,8.4,1.2M,95,English,United States~Japan,FortyFour Studios~Pixar Animation Studios~Walt Disney Pictures,"$180,000,000","$521,320,168"
43,The Truman Show,1998,PG,1h 43m,Comedy~Drama,8.2,1.2M,90,English,United States,Paramount Pictures~Scott Rudin Productions,"$60,000,000","$264,118,712"
44,Kill Bill: Vol. 1,2003,R,1h 51m,Action~Crime~Thriller,8.2,1.2M,69,English~Japanese~French,United States,Miramax~A Band Apart~Super Cool ManChu,"$30,000,000","$180,908,413"
45,American History X,1998,R,1h 59m,Crime~Drama,8.5,1.2M,62,English,United States,New Line Cinema~Savoy Pictures~The Turman-Morrissey Company,"$20,000,000","$23,875,714"
46,V for Vendetta,2005,R,2h 12m,Action~Drama~Sci-Fi,8.2,1.2M,62,English~French~Latin~Spanish,United States~United Kingdom~Germany,Warner Bros.~Virtual Studios~Silver Pictures,"$54,000,000","$134,686,457"
47,Terminator 2: Judgment Day,1991,R,2h 17m,Action~Adventure~Sci-Fi,8.6,1.2M,75,English~Spanish,United States,Carolco Pictures~Pacific Western~Lightstorm Entertainment,"$102,000,000","$520,881,154"
48,The Usual Suspects,1995,R,1h 46m,Crime~Drama~Mystery,8.5,1.1M,76,English~Hungarian~Spanish~French,United States~Germany,PolyGram Filmed Entertainment~Spelling Films International~Blue Parrot,"$6,000,000","$23,341,568"
49,The Lion King,1994,G,1h 28m,Animation~Adventure~Drama,8.5,1.1M,88,English~Swahili~Xhosa~Zulu,United States,Walt Disney Pictures~Walt Disney Animation Studios,"$45,000,000","$968,750,694"
50,Deadpool,2016,R,1h 48m,Action~Comedy,8.0,1.1M,65,English,United States,Twentieth Century Fox~Marvel Entertainment~Kinberg Genre,"$58,000,000","$782,837,347"
51,Iron Man,2008,PG-13,2h 6m,Action~Adventure~Sci-Fi,7.9,1.1M,79,English~Persian~Urdu~Arabic~Kurdish~Hindi~Hungarian,United States~Canada,Paramount Pictures~Marvel Studios~Fairview Entertainment,"$140,000,000","$585,796,247"
52,Up,2009,PG,1h 36m,Animation~Adventure~Comedy,8.3,1.1M,88,English,United States,Pixar Animation Studios~Walt Disney Pictures,"$175,000,000","$735,102,136"
53,Star Wars: Episode VI - Return of the Jedi,1983,PG,2h 11m,Action~Adventure~Fantasy,8.3,1.1M,58,English~Kikuyu~Tagalog~Kalmyk-Oirat~Quechua~Polish,United States,Lucasfilm,"$32,500,000","$475,106,177"
54,Finding Nemo,2003,G,1h 40m,Animation~Adventure~Comedy,8.2,1.1M,90,English~Japanese~Russian,United States~Japan,Pixar Animation Studios~Walt Disney Pictures,"$94,000,000","$941,637,960"
55,The Shining,1980,R,2h 26m,Drama~Horror,8.4,1.1M,68,English,United Kingdom~United States,Warner Bros.~Hawk Films~Peregrine,"$19,000,000","$47,380,008"
56,Catch Me If You Can,2002,PG-13,2h 21m,Biography~Crime~Drama,8.1,1.1M,75,English~French,United States~Canada,Dreamworks Pictures~Kemp Company~Splendid Pictures,"$52,000,000","$352,114,312"
57,Braveheart,1995,R,2h 58m,Biography~Drama~War,8.3,1.1M,68,English~French~Latin~Gaelic~Italian,United States,Icon Entertainment International~The Ladd Company~B.H. Finance C.V.,"$72,000,000","$213,216,216"
58,Reservoir Dogs,1992,R,1h 39m,Crime~Thriller,8.3,1.1M,81,English,United States,Live Entertainment~Dog Eat Dog Productions Inc.,"$1,200,000","$2,930,208"
59,Mad Max: Fury Road,2015,R,2h,Action~Adventure~Sci-Fi,8.1,1.1M,90,English~Russian,Australia,Warner Bros.~Village Roadshow Pictures~Kennedy Miller Productions,"$150,000,000","$380,418,444"
60,Eternal Sunshine of the Spotless Mind,2004,R,1h 48m,Drama~Romance~Sci-Fi,8.3,1.1M,89,English,United States,Focus Features~Anonymous Content~This Is That Productions,"$20,000,000","$73,390,334"
61,One Flew Over the Cuckoo's Nest,1975,R,2h 13m,Drama,8.7,1.1M,84,English,United States,Fantasy Films~N.V. Zvaluw,"$3,000,000","$109,114,987"
62,Toy Story,1995,G,1h 21m,Animation~Adventure~Comedy,8.3,1.1M,96,English,United States,Walt Disney Pictures~Pixar Animation Studios,"$30,000,000","$394,436,586"
63,Good Will Hunting,1997,R,2h 6m,Drama~Romance,8.3,1.1M,71,English,United States,Miramax~Lawrence Bender Productions~Be Gentlemen Limited Partnership,"$10,000,000","$225,933,435"
64,Gone Girl,2014,R,2h 29m,Drama~Mystery~Thriller,8.1,1.1M,79,English,United States,Twentieth Century Fox~New Regency Productions~TSG Entertainment,"$61,000,000","$369,330,536"
65,Jurassic Park,1993,PG-13,2h 7m,Action~Adventure~Sci-Fi,8.2,1.1M,68,English~Spanish,United States,Universal Pictures~Amblin Entertainment,"$63,000,000","$1,114,456,337"
66,No Country for Old Men,2007,R,2h 2m,Crime~Drama~Thriller,8.2,1.1M,92,English~Spanish,United States,Paramount Vantage~Miramax~Scott Rudin Productions,"$25,000,000","$171,632,777"
67,The Sixth Sense,1999,PG-13,1h 47m,Drama~Mystery~Thriller,8.2,1.1M,64,English~Latin~Spanish,United States,Hollywood Pictures~Spyglass Entertainment~The Kennedy/Marshall Company,"$40,000,000","$672,806,432"
68,Raiders of the Lost Ark,1981,PG,1h 55m,Action~Adventure,8.4,1M,86,English~German~Spanish~Nepali~Hebrew~Arabic,United States,Paramount Pictures~Lucasfilm,"$18,000,000","$389,925,971"
69,The Hunger Games,2012,PG-13,2h 22m,Action~Adventure~Sci-Fi,7.2,1M,68,English,United States,Lionsgate Films~Color Force,"$78,000,000","$695,220,619"
70,Whiplash,2014,R,1h 46m,Drama~Music,8.5,987K,89,English,United States,Bold Films~Blumhouse Productions~Right of Way Films,"$3,300,000","$49,449,489"
71,A Beautiful Mind,2001,PG-13,2h 15m,Biography~Drama~Mystery,8.2,986K,72,English,United States,Universal Pictures~Dreamworks Pictures~Imagine Entertainment,"$58,000,000","$316,791,257"
72,"Monsters, Inc.",2001,G,1h 32m,Animation~Adventure~Comedy,8.1,978K,79,English,United States,Pixar Animation Studios~Walt Disney Pictures,"$115,000,000","$579,723,768"
73,Star Wars: Episode VII - The Force Awakens,2015,PG-13,2h 18m,Action~Adventure~Sci-Fi,7.8,973K,80,English,United States,Lucasfilm~Bad Robot,"$245,000,000","$2,071,310,218"
74,Parasite,2019,R,2h 12m,Drama~Thriller,8.5,957K,97,Korean~English,South Korea,CJ Entertainment~Barunson E&A,"$11,400,000","$262,099,264"
75,Alien,1979,R,1h 57m,Horror~Sci-Fi,8.5,949K,89,English,United Kingdom~United States,Twentieth Century Fox~Brandywine Productions~Scott Free Productions,"$11,000,000","$106,285,522"
76,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,2h 10m,Adventure~Family~Fantasy,8.1,947K,85,English~Latin,United Kingdom~United States,Warner Bros.~Heyday Films,"$125,000,000","$1,356,962,211"
77,Die Hard,1988,R,2h 12m,Action~Thriller,8.2,944K,72,English~German~Italian~Japanese,United States,Twentieth Century Fox~Gordon Company~Silver Pictures,"$28,000,000","$143,651,650"
78,The Intouchables,2011,R,1h 52m,Comedy~Drama,8.5,928K,57,French~English,France,Quad~Ten Films~Canal+,"€9,500,000","$426,590,315"
79,The Martian,2015,PG-13,2h 24m,Adventure~Drama~Sci-Fi,8.0,924K,80,English~Mandarin,United States~United Kingdom~Hungary~Jordan,Twentieth Century Fox~TSG Entertainment~Scott Free Productions,"$108,000,000","$630,620,818"
80,The Terminator,1984,R,1h 47m,Action~Adventure~Sci-Fi,8.1,923K,84,English~Spanish,United Kingdom~United States,Cinema '84~Euro Film Funding~Hemdale,"$6,400,000","$78,371,200"
81,Avengers: Age of Ultron,2015,PG-13,2h 21m,Action~Adventure~Sci-Fi,7.3,921K,66,English~Korean,United States,Marvel Studios~Walt Disney Pictures,"$250,000,000","$1,405,018,048"
82,Taxi Driver,1976,R,1h 54m,Crime~Drama,8.2,919K,94,English~Spanish,United States,Columbia Pictures~Bill/Phillips~Italo/Judeo Productions,"$1,300,000","$28,579,636"
83,Scarface,1983,R,2h 50m,Crime~Drama,8.3,915K,65,English~Spanish,United States,Universal Pictures,"$50,000,000","$66,443,303"
84,The Pianist,2002,R,2h 30m,Biography~Drama~Music,8.5,911K,85,English~German~Russian,France~Poland~Germany~United Kingdom~United States,R.P. Productions~Heritage Films~Studio Babelsberg,"$35,000,000","$120,098,945"
85,Snatch,2000,R,1h 42m,Comedy~Crime,8.2,910K,55,English~Russian,United Kingdom~United States,Screen Gems~SKA Films,"£6,000,000","$83,557,872"
86,Thor,2011,PG-13,1h 55m,Action~Fantasy,7.0,899K,57,English,United States,Paramount Pictures~Marvel Entertainment~Marvel Studios,"$150,000,000","$449,326,618"
87,Iron Man 3,2013,PG-13,2h 10m,Action~Adventure~Sci-Fi,7.1,898K,62,English,United States,Marvel Studios~Paramount Pictures~DMG Entertainment,"$200,000,000","$1,215,577,205"
88,Captain America: The Winter Soldier,2014,PG-13,2h 16m,Action~Adventure~Sci-Fi,7.7,898K,70,English~French,United States,Marvel Entertainment~Marvel Studios~Walt Disney Pictures,"$170,000,000","$714,421,503"
89,Requiem for a Dream,2000,NC-17,1h 42m,Drama,8.3,898K,71,English,United States,Artisan Entertainment~Thousand Words~Sibling Productions,"$4,500,000","$7,390,108"
90,Captain America: The First Avenger,2011,PG-13,2h 4m,Action~Adventure~Sci-Fi,6.9,896K,66,English~Norwegian~French,United States,Paramount Pictures~Marvel Entertainment~Marvel Studios,"$140,000,000","$370,569,774"
91,Toy Story 3,2010,G,1h 43m,Animation~Adventure~Comedy,8.3,892K,92,English~Spanish,United States,Walt Disney Pictures~Pixar Animation Studios,"$200,000,000","$1,067,316,101"
92,The Grand Budapest Hotel,2014,R,1h 39m,Adventure~Comedy~Crime,8.1,886K,88,English~French~German,United States~Germany,Fox Searchlight Pictures~Indian Paintbrush~Studio Babelsberg,"$25,000,000","$174,567,384"
93,A Clockwork Orange,1971,R,2h 16m,Crime~Sci-Fi,8.3,880K,77,English,United Kingdom~United States,Warner Bros.~Polaris Productions~Hawk Films,"$2,200,000","$27,023,100"
94,Spider-Man,2002,PG-13,2h 1m,Action~Adventure~Sci-Fi,7.4,878K,73,English,United States,Columbia Pictures~Marvel Enterprises~Laura Ziskin Productions,"$139,000,000","$825,706,400"
95,Slumdog Millionaire,2008,R,2h,Crime~Drama~Romance,8.0,877K,84,English~Hindi~French~German,United Kingdom~France~United States,Searchlight Pictures~Warner Bros. Pictures~Film4,"$15,000,000","$378,411,362"
96,Spider-Man: No Way Home,2021,PG-13,2h 28m,Action~Adventure~Fantasy,8.2,877K,71,English,United States,Columbia Pictures~Pascal Pictures~Marvel Studios,"$200,000,000","$1,921,847,111"
97,The Revenant,2015,R,2h 36m,Action~Adventure~Drama,8.0,873K,76,English~Pawnee~French,Hong Kong~Taiwan~United States,New Regency Productions~RatPac Entertainment~New Regency Productions,"$135,000,000","$532,950,503"
98,The Hobbit: An Unexpected Journey,2012,PG-13,2h 49m,Adventure~Fantasy,7.8,872K,58,English,New Zealand~United States,Metro-Goldwyn-Mayer (MGM)~New Line Cinema~WingNut Films,"$180,000,000","$1,017,106,749"
99,Iron Man 2,2010,PG-13,2h 4m,Action~Sci-Fi,6.9,868K,57,English~French~Russian,United States,Paramount Pictures~Marvel Entertainment~Marvel Studios,"$200,000,000","$623,933,331"
100,12 Angry Men,1957,Approved,1h 36m,Crime~Drama,9.0,864K,97,English,United States,Orion-Nova Productions,"$350,000","$2,667"
101,300,2006,R,1h 57m,Action~Drama,7.6,863K,52,English,United States~Canada~Bulgaria,Warner Bros.~Legendary Entertainment~Virtual Studios,"$65,000,000","$456,082,343"
102,Gravity,2013,PG-13,1h 31m,Drama~Sci-Fi~Thriller,7.7,863K,96,English~Greenlandic,United Kingdom~United States,Warner Bros.~Esperanto Filmoj~Heyday Films,"$100,000,000","$773,031,617"
103,The Big Lebowski,1998,R,1h 57m,Comedy~Crime,8.1,859K,71,English~German~Hebrew~Spanish,United States~United Kingdom,Polygram Filmed Entertainment~Working Title Films,"$15,000,000","$48,066,229"
104,Star Wars: Episode I - The Phantom Menace,1999,PG,2h 16m,Action~Adventure~Fantasy,6.5,856K,51,English~Sanskrit,United States,Lucasfilm,"$115,000,000","$1,027,083,462"
105,Harry Potter and the Sorcerer's Stone,2001,PG,2h 32m,Adventure~Family~Fantasy,7.6,855K,65,English~Latin,United Kingdom~United States,Warner Bros.~Heyday Films~1492 Pictures,"$125,000,000","$1,024,465,951"
106,Donnie Darko,2001,R,1h 53m,Drama~Mystery~Sci-Fi,8.0,849K,88,English,United States,Pandora Cinema~Flower Films (II)~Adam Fields Productions,"$6,000,000","$7,088,397"
107,Captain America: Civil War,2016,PG-13,2h 27m,Action~Sci-Fi,7.8,849K,75,English~German~Xhosa~Russian~Romanian,United States~Germany,Marvel Studios~Vita-Ray Dutch Productions (III)~Studio Babelsberg,"$250,000,000","$1,155,046,416"
108,Spirited Away,2001,PG,2h 5m,Animation~Adventure~Family,8.6,848K,96,Japanese~English,Japan,Tokuma Shoten~Studio Ghibli~Nippon Television Network (NTV),"$19,000,000","$357,561,772"
109,Dune,2021,PG-13,2h 35m,Action~Adventure~Drama,8.0,848K,74,English~Mandarin,United States~Canada,Warner Bros.~Legendary Entertainment~Villeneuve Films,"$165,000,000","$407,573,628"
110,Once Upon a Time... in Hollywood,2019,R,2h 41m,Comedy~Drama,7.6,846K,84,English~Italian~Spanish~German,United States~United Kingdom~China,Columbia Pictures~Bona Film Group~Heyday Films,"$90,000,000","$377,617,681"
111,The Hangover,2009,R,1h 40m,Comedy,7.7,845K,73,English,United States~Germany,Warner Bros.~Legendary Entertainment~Green Hat Films,"$35,000,000","$469,328,922"
112,Star Wars: Episode III - Revenge of the Sith,2005,PG-13,2h 20m,Action~Adventure~Fantasy,7.6,845K,68,English,United States~Italy~Switzerland~Thailand,Lucasfilm~Mestiere Cinema~Pandora Films,"$113,000,000","$868,390,560"
113,Black Panther,2018,PG-13,2h 14m,Action~Adventure~Sci-Fi,7.3,837K,88,English~Swahili~Nama~Xhosa~Korean,United States,Marvel Studios~Walt Disney Pictures,"$200,000,000","$1,349,926,083"
114,Logan,2017,R,2h 17m,Action~Drama~Sci-Fi,8.1,830K,77,English~Spanish,United States,Twentieth Century Fox~Marvel Entertainment~TSG Entertainment,"$97,000,000","$619,180,476"
115,The Imitation Game,2014,PG-13,1h 54m,Biography~Drama~Thriller,8.0,824K,71,English~German,United Kingdom~United States,Black Bear~Bristol Automotive,"$14,000,000","$233,555,708"
116,Black Swan,2010,R,1h 48m,Drama~Thriller,8.0,824K,79,English~French~Italian,United States,Searchlight Pictures~Cross Creek Pictures~Protozoa Pictures,"$13,000,000","$329,398,046"
117,Ratatouille,2007,G,1h 51m,Animation~Adventure~Comedy,8.1,823K,96,English~French,United States,Walt Disney Pictures~Pixar Animation Studios,"$150,000,000","$623,728,318"
118,Blade Runner,1982,R,1h 57m,Action~Drama~Sci-Fi,8.1,822K,84,English~German~Cantonese~Japanese~Hungarian~Arabic~Korean,United States~United Kingdom,The Ladd Company~Shaw Brothers~Warner Bros.,"$28,000,000","$41,754,158"
119,Thor: Ragnarok,2017,PG-13,2h 10m,Action~Adventure~Comedy,7.9,815K,74,English,United States,Walt Disney Pictures~Marvel Studios,"$180,000,000","$855,301,806"
120,Gran Torino,2008,R,1h 56m,Drama,8.1,814K,72,English~Hmong,Germany~United States,Matten Productions~Double Nickel Entertainment~Gerber Pictures,"$33,000,000","$269,958,228"
121,I Am Legend,2007,PG-13,1h 41m,Action~Drama~Horror,7.2,813K,65,English,United States,Warner Bros.~Village Roadshow Pictures~Weed Road Pictures,"$150,000,000","$585,410,052"
122,Man of Steel,2013,PG-13,2h 23m,Action~Adventure~Sci-Fi,7.1,811K,55,English,United States~United Kingdom,Warner Bros.~Legendary Entertainment~Syncopy,"$225,000,000","$670,145,518"
123,"The Good, the Bad and the Ugly",1966,R,2h 58m,Adventure~Western,8.8,810K,90,Italian~English,Italy~Spain~West Germany,Produzioni Europee Associate (PEA)~Arturo González Producciones Cinematográficas~Constantin Film,"$1,200,000","$25,259,657"
124,Indiana Jones and the Last Crusade,1989,PG-13,2h 7m,Action~Adventure,8.2,810K,65,English~German~Greek~Latin~Italian,United States,Paramount Pictures~Lucasfilm,"$48,000,000","$474,171,806"
125,Prisoners,2013,R,2h 33m,Crime~Drama~Mystery,8.2,808K,70,English,United States,Alcon Entertainment~8:38 Productions~Madhouse Entertainment,"$46,000,000","$122,127,446"
126,The Incredibles,2004,PG,1h 55m,Animation~Action~Adventure,8.0,807K,90,English~French~German~Italian~Portuguese~Russian,United States,Pixar Animation Studios~Walt Disney Pictures,"$92,000,000","$631,686,750"
127,Kill Bill: Vol. 2,2004,R,2h 17m,Action~Crime~Thriller,8.0,804K,83,English~Cantonese~Mandarin~Spanish,United States,Miramax~A Band Apart~Super Cool ManChu,"$30,000,000","$154,118,514"
128,Doctor Strange,2016,PG-13,1h 55m,Action~Adventure~Fantasy,7.5,804K,72,English,United States,Marvel Studios~Walt Disney Pictures,"$165,000,000","$677,796,833"
129,City of God,2002,R,2h 10m,Crime~Drama,8.6,800K,79,Portuguese,Brazil~France~Germany,O2 Filmes~VideoFilmes~Globo Filmes,"R$3,300,000","$30,680,793"
130,How to Train Your Dragon,2010,PG,1h 38m,Animation~Action~Adventure,8.1,799K,75,English,United States~France~United Kingdom,DreamWorks Animation~Mad Hatter Entertainment~Vertigo Entertainment,"$165,000,000","$494,879,860"
131,Amélie,2001,R,2h 2m,Comedy~Romance,8.3,794K,70,French~Russian~English,France~Germany,Claudie Ossard Productions~Union Générale Cinématographique (UGC)~Victoires Productions,"$10,000,000","$174,919,889"
132,Sin City,2005,R,2h 4m,Crime~Thriller,8.0,793K,74,English,United States,Dimension Films~Troublemaker Studios,"$40,000,000","$158,733,820"
133,Full Metal Jacket,1987,R,1h 56m,Drama~War,8.3,790K,78,English~Vietnamese,United Kingdom~United States,Warner Bros.~Natant~Stanley Kubrick Productions,"$30,000,000","$46,361,894"
134,The Batman,2022,PG-13,2h 56m,Action~Crime~Drama,7.8,785K,72,English~Spanish~Latin~Italian,United States,Warner Bros.~DC Entertainment~6th & Idaho Productions,"$185,000,000","$772,245,583"
135,Inside Out,2015,PG,1h 35m,Animation~Adventure~Comedy,8.1,784K,94,English~Portuguese~Latvian,United States,Pixar Animation Studios~Walt Disney Pictures,"$175,000,000","$858,852,998"
136,Knives Out,2019,PG-13,2h 10m,Comedy~Crime~Drama,7.9,773K,82,English~Spanish~Hindi,United States,Lionsgate Films~Media Rights Capital (MRC)~T-Street,"$40,000,000","$312,897,920"
137,Arrival,2016,PG-13,1h 56m,Drama~Mystery~Sci-Fi,7.9,769K,81,English~Mandarin~Russian,United States~Canada,Lava Bear Films~FilmNation Entertainment~21 Laps Entertainment,"$47,000,000","$203,389,228"
138,Pirates of the Caribbean: Dead Man's Chest,2006,PG-13,2h 31m,Action~Adventure~Fantasy,7.4,767K,53,English~Turkish~Greek~Mandarin~French,United States,Walt Disney Pictures~Jerry Bruckheimer Films~Second Mate Productions,"$225,000,000","$1,066,179,747"
